candidate_id,district,party,name,district_name,degree_status,domain,domain row,First Degree University,First Degree University,Second Degree,Second Degree University,Third Degree,Third Degree University,Fourth Degree,Fourth Degree University
75,8,Solidarity,Charlotte Ahmed,Garscadden,,,,,,,,,,,
76,8,Labour,Liz Cameron,Garscadden,,,,,,,,,,,
77,8,Scottish Green,Sue England,Garscadden,,,,,,,,,,,
78,8,Scottish Unionist,Robert Findlay,Garscadden,,,,,,,,,,,
79,8,SNP,Graeme Hendry,Garscadden,,,,,,,,,,,
80,8,Scottish Socialist,Peter Lavelle,Garscadden,,,,,,,,,,,
81,8,Labour,Jean Mcfadden,Garscadden,,,,,,,,,,,
82,8,Liberal Democrats,James Paris,Garscadden,,,,,,,,,,,
83,8,Labour,Paul Rooney,Garscadden,,,,,,,,,,,
84,8,Conservative,Matthew T Smith,Garscadden,,,,,,,,,,,
85,9,Labour,Shaukat Butt,Govan,,,,,,,,,,,
86,9,Liberal Democrats,Michael Cobley,Govan,,,,,,,,,,,
87,9,Labour,Stephen Dornan,Govan,,,,,,,,,,,
88,9,Labour,John Flanagan,Govan,,,,,,,,,,,
89,9,Scottish Unionist,Alan L Hughes,Govan,,,,,,,,,,,
90,9,SNP,Allison Hunter,Govan,,,,,,,,,,,
91,9,Scottish Green,Will Jess,Govan,,,,,,,,,,,
92,9,Solidarity,Irene Lang,Govan,,,,,,,,,,,
93,9,Conservative,Patricia Mcintyre,Govan,,,,,,,,,,,
94,9,Independent,George Douglas Mcnee,Govan,,,,,,,,,,,
95,9,Scottish Socialist,Carolina Perez,Govan,,,,,,,,,,,
96,10,Scottish Socialist,Keith Baldassara,GreaterPollok,,,,,,,,,,,
97,10,Liberal Democrats,Fleming Carswell,GreaterPollok,,,,,,,,,,,
98,10,SNP,Patricia Duffy,GreaterPollok,,,,,,,,,,,
99,10,Labour,Alex Glass,GreaterPollok,,,,,,,,,,,
100,10,Labour,Tommy Morrison,GreaterPollok,,,,,,,,,,,
101,10,Conservative,Rory O'Brien,GreaterPollok,,,,,,,,,,,
102,10,Labour,William O'Rourke,GreaterPollok,,,,,,,,,,,
103,10,Scottish Green,Caroline Scott,GreaterPollok,,,,,,,,,,,
104,10,Solidarity,Alice Sheridan,GreaterPollok,,,,,,,,,,,
105,11,Conservative,John Anderson,Hillhead,,,,,,,,,,,
106,11,Independent,Neil Craig,Hillhead,,,,,,,,,,,
107,11,Liberal Democrats,Kenneth Elder,Hillhead,,,,,,,,,,,
108,11,Scottish Socialist,Anthea Irwin,Hillhead,,,,,,,,,,,
109,11,Liberal Democrats,Abdul A Khan,Hillhead,,,,,,,,,,,
110,11,Solidarity,Akhter Khan,Hillhead,,,,,,,,,,,
111,11,Labour,Hanzala Malik,Hillhead,,,,,,,,,,,
112,11,Labour,Martin Rhodes,Hillhead,,,,,,,,,,,
113,11,SNP,George A Roberts,Hillhead,,,,,,,,,,,
114,11,Scottish Green,Martha Ferguson Wardrop,Hillhead,,,,,,,,,,,
115,12,Liberal Democrats,Paul Coleshill,Langside,,,,,,,,,,,
116,12,SNP,James Dornan,Langside,,,,,,,,,,,
117,12,Solidarity,Martin Frain,Langside,,,,,,,,,,,
118,12,Labour,Archie Graham,Langside,,,,,,,,,,,
119,12,Labour,Margaret Mccafferty,Langside,,,,,,,,,,,
120,12,Scottish Green,Neil Sloan Mcdonald,Langside,,,,,,,,,,,
121,12,Conservative,Russell Munn,Langside,,,,,,,,,,,
122,12,Scottish Socialist,James Nesbitt,Langside,,,,,,,,,,,
123,13,Conservative,Esme H Clark,Linn,,,,,,,,,,,
124,13,Liberal Democrats,Margot Clark,Linn,,,,,,,,,,,
125,13,Labour,Sadie Docherty,Linn,,,,,,,,,,,
126,13,Independent,Chris Lang,Linn,,,,,,,,,,,
127,13,Scottish Unionist,Harry Mcarthur,Linn,,,,,,,,,,,
128,13,Labour,John Mckenzie,Linn,,,,,,,,,,,
129,13,SNP,David Ritchie,Linn,,,,,,,,,,,
130,13,Labour,Alan Stewart,Linn,,,,,,,,,,,
131,13,Scottish Green,Chloe Helen Stewart,Linn,,,,,,,,,,,
132,13,Scottish Socialist,Gordon Thomson,Linn,,,,,,,,,,,
133,13,Solidarity,Frank Young,Linn,,,,,,,,,,,
134,14,SNP,Alex Dingwall,Maryhill,,,,,,,,,,,
135,14,Scottish Socialist,John Lawson,Maryhill,,,,,,,,,,,
136,14,Liberal Democrats,Mary Paris,Maryhill,,,,,,,,,,,
137,14,Conservative,Brian Clifford Pope,Maryhill,,,,,,,,,,,
138,14,Labour,Mohammed Razaq,Maryhill,,,,,,,,,,,
139,14,Scottish Green,Daryl L Tayar,Maryhill,,,,,,,,,,,
